Rank,Country,ISO,Score,Categorical Rank
97,Mauritania,MRT,32.54,Okay
56,Mauritius,MUS,28,Okay
143,Mexico,MEX,45.45,Worse
91,Moldova,MDA,31.16,Okay
73,Mongolia,MNG,29.61,Okay
105,Montenegro,MNE,33.83,Okay
133,Morocco / Western Sahara,MAR,42.88,Worse
104,Mozambique,MOZ,33.79,Okay
139,Myanmar,MMR,44.77,Worse
23,Namibia,NAM,19.25,Better
112,Nepal,NPL,35.1,Worse
5,Netherlands,NLD,9.96,Best
9,New Zealand,NZL,10.69,Best
117,Nicaragua,NIC,35.81,Worse
57,Niger,NIC,28.25,Okay
115,Nigeria,NGA,35.63,Worse
180,North Korea,PRK,85.82,Worst
92,North Macedonia,MKD,31.28,Okay
77,Northern Cyprus,CYP,29.79,Okay
1,Norway,NOR,7.84,Best
44,OECS,LCA,23.78,Better
135,Oman,OMN,43.42,Worse
145,Pakistan,PAK,45.52,Worse
137,Palestine,PSE,44.09,Worse
76,Panama,PAN,29.78,Okay
46,Papua New Guinea,PNG,23.93,Better
100,Paraguay,PRY,32.97,Okay
90,Peru,PER,30.94,Okay
136,Philippines,PHL,43.54,Worse
62,Poland,POL,28.65,Okay
10,Portugal,PRT,11.83,Best
129,Qatar,QAT,42.51,Worse
48,Romania,ROU,25.91,Okay
149,Russia,RUS,48.92,Worse
155,Rwanda,RWA,50.34,Worse
21,Samoa,WSM,18.25,Better
170,Saudi Arabia,SAU,62.14,Worst
47,Senegal,SEN,23.99,Better
93,Serbia,SRB,31.62,Okay
63,Seychelles,SYC,28.66,Okay
85,Sierra Leone,SLE,30.28,Okay
158,Singapore,SGP,55.23,Worst
33,Slovakia,SVK,22.67,Better
32,Slovenia,SVN,22.64,Better
163,Somalia,SOM,55.45,Worst
31,South Africa,ZAF,22.41,Better
42,South Korea,SGS,23.7,Better
138,South Sudan,KOR,44.49,Worse
29,Spain,ESP,22.16,Better
127,Sri Lanka,LKA,41.94,Worse
159,Sudan,SDN,55.33,Worst
20,Suriname,SUR,17.5,Better
4,Sweden,SWE,9.25,Best
8,Switzerland,CHE,10.62,Best
174,Syria,SYR,72.57,Worst
43,Taiwan,TWN,23.76,Better
161,Tajikistan,TJK,55.34,Worst
124,Tanzania,TZA,40.25,Worse
140,Thailand,THA,44.94,Worse
78,Timor-Leste,TLS,29.9,Okay
71,Togo,TGO,29.33,Okay
50,Tonga,TON,27.27,Okay
36,Trinidad and Tobago,TTO,23.22,Better
72,Tunisia,TUN,29.45,Okay
154,Turkey,TUR,50.02,Worse
179,Turkmenistan,TKM,85.44,Worst
125,Uganda,UGA,40.95,Worse
96,Ukraine,UKR,32.52,Okay
131,United Arab Emirates,ARE,42.69,Worse
35,United Kingdom,GBR,22.93,Better
45,United States,USA,23.85,Better
19,Uruguay,URY,15.79,Better
156,Uzbekistan,UZB,53.07,Worse
147,Venezuela,VEN,45.66,Worse
175,Vietnam,VNM,74.71,Worst
167,Yemen,YEM,58.25,Worst
120,Zambia,ZMB,37,Worse
126,Zimbabwe,ZWE,40.95,Worse
